ID;Mã vạch;Mã sản phẩm;Tên sản phẩm;Khối lượng;Giá;Giá vốn;Giá nhập;Giá bán sỉ;Kho Hà Nội;Kho HCM;Tổng tồn
4944621;2000214256765;TNU180526;Tóc tém TNU180526;;3899000;;;;4;;4
4944620;2000214256758;HUYỀN-1505261;Mái phủ hói siêu da silk base MHNU150526;;10899000;;;;1;;1
4944619;2000214256741;HUYỀN-150526;Đầu đội siêu da silk base DDV150526;;16499000;;;;1;;1
4944618;2000214256734;Hà-1405261;Đầu đội siêu da silk base DDV1405261;;11899000;;;;1;;1
4944617;2000214256727;MINH-140526;1;;11899000;;;;;;
4944616;2000214256710;DDN1405961;Đầu đội machine weft DDN1405961;;6299000;;;;1;;1
4944615;2000214256703;DDN140596;Đầu đội machine weft DDN140596;;10899000;;;;1;;1
4944614;2000214256697;HT100526;Hấp tócc;;100000;;;;;;
4944612;2000214256673;PP0805;phím phồng 0805;;300000;;;;15;;15
4944611;2000214256666;DDN080526;Đầu đội machine weft DDN080526;;6899000;;;;1;;1
4944610;2000214256659;MINH-080526;Đầu đội siêu da silk base DDV080526;;11499000;;;;;1;1
4944609;2000214256642;MHNU080526;Mái hói siêu da silk base MHNU080526;;4980000;;;;1;;1
4944608;2000214256635;HUYỀN-070526;Đầu khách đặt DDV070526;;16200000;;;;1;;1
4944607;2000214256628;HÂN-040526;đầu đôi khách đặt DDV040526;;15750000;;;;;;
4944606;2000214256611;;phí uốn mái chị DUNG;;300000;;;;;;
4944605;2000214256604;HÂN-240426;Đầu đội khách đặt DDV240426;;10700000;;;;;;
4944604;2000214256598;DDV240426;Đầu bop siêu da DDV240426;;5899000;;;;1;;1
4944603;2000214256581;TNA2404261;TÉM NAM TNA2404261;;2800000;;;;2;;2
4944602;2000214256574;TNA240426;TÉM NAM TNA240426;;3499000;;;;4;;4
4944601;2000214256567;TNU240426;Tém nữ siêu da TNU240426;;7899000;;;;4;;4
4944600;2000214256550;DDN240426;Đầu đội machine weft DDN240426;;6499000;;;;1;;1
4944599;2000214256543;;Hấp dầu tóc;;100000;;;;;;
4944597;2000214256529;HÂN-210426;Đầu đội siêu da silk base DDV210426;;11899000;;;;;;
4944596;2000214256512;HUYỀN-210426;Mái hói siêu da silk base MHNU210426;;5980000;;;;;;
4944595;2000214256505;DDV210426;Đầu đội khách đặt DDV210426;;10700000;;;;;;
4944594;2000214256499;;lưới chùm;;30000;;;;;;
4944593;2000214256482;2004261;phí hấp mái hói 2004261;;100000;;;;20;;20
4944592;2000214256475;200426;phí hấp đầu đội 200426;;200000;;;;18;;18
4944591;2000214256468;;lưới chùm tóc 2004;;20000;;;;20;;20
4944589;2000214256444;hà-170426;Đầu đội siêu da silk base DDV170426;;15980000;;;;1;;1
4944588;2000214256437;HUYỀN-1704261;Mái phủ hói siêu da silk base MHNU1704261;;5980000;;;;1;;1
4944587;2000214256420;HUYỀN-170426;Mái phủ hói siêu da silk base MHNU170426;;5299000;;;;1;;1
4944586;2000214256413;;Đầu đội machine weft DDN150426;;9899000;;;;1;;1
4944585;2000214256406;;Lưới chùm tóc.;;10000;10000;10000;;;;
4944584;2000214256390;;TÓC MAY CỦA KHÁCH 1404;;2400000;;;;;;
4944583;2000214256383;;công móc mái hói;;400000;;;;;;
