Tên danh mục;Mã danh mục;ID;Hoạt động;Hiển thị;Số sản phẩm;Ngày tạo;Link trên website
BÚI TRÒN TO LUXY;BÚI TRÒN TO LUXY;27469;Ẩn;Không hiển thị;1;2022-10-17 16:17:07;/bui-tron-to-luxy-pc27469.html
MÁI NGỐ;MÁI NGỐ;4801;Hoạt động;Không hiển thị;18;2022-06-29 14:28:22;/mai-ngo-pc4801.html
Đầu Đội siêu da Silk Base;Đầu Đội siêu da Silk Base;4802;Hoạt động;Không hiển thị;75;2022-06-29 14:33:27;/dau-doi-sieu-da-silk-base-pc4802.html
Khách Đặt;Khách đặt theo yêu cầu;7533;Hoạt động;Không hiển thị;28;2022-07-13 15:04:47;/khach-dat-pc7533.html
Phụ thu phí;Phụ thu phí;11544;Hoạt động;Không hiển thị;30;2022-07-27 12:54:20;/phu-thu-phi-pc11544.html
Qùa tặng;Qùa tặng;16627;Hoạt động;Không hiển thị;3;2022-08-25 15:35:20;/qua-tang-pc16627.html
QUÀ TẶNG;QUÀ TẶNG;16628;Hoạt động;Không hiển thị;3;2022-08-25 15:36:35;/qua-tang-pc16628.html
Xịt dưỡng;Xịt dưỡng;16630;Hoạt động;Không hiển thị;3;2022-08-25 15:36:55;/xit-duong-pc16630.html
ĐẦU ĐỘI SIÊU DA ĐẦU LUXY;ĐẦU ĐỘI SIÊU DA ĐẦU LUXY;27454;Ẩn;Không hiển thị;4;2022-10-17 16:17:07;/dau-doi-sieu-da-dau-luxy-pc27454.html
VIC LUXY;VIC LUXY;27460;Ẩn;Không hiển thị;1;2022-10-17 16:17:07;/vic-luxy-pc27460.html
CỘT ĐUÔI LUXY;CỘT ĐUÔI LUXY;27463;Ẩn;Không hiển thị;1;2022-10-17 16:17:07;/cot-duoi-luxy-pc27463.html
NGOẠM ĐUÔI LUXY;NGOẠM ĐUÔI LUXY;27464;Ẩn;Không hiển thị;2;2022-10-17 16:17:07;/ngoam-duoi-luxy-pc27464.html
KẸP 9 PHÍM LUXY;KẸP 9 PHÍM LUXY;27465;Ẩn;Không hiển thị;1;2022-10-17 16:17:07;/kep-9-phim-luxy-pc27465.html
KẸP 3 PHÍM LUXY;KẸP 3 PHÍM LUXY;27467;Ẩn;Không hiển thị;5;2022-10-17 16:17:07;/kep-3-phim-luxy-pc27467.html
Lưới đội đầu;LDD;25176;Hoạt động;Không hiển thị;4;2022-10-03 15:45:06;/luoi-doi-dau-pc25176.html
BÚI TRÒN BÉ LUXY;BÚI TRÒN BÉ LUXY;27470;Ẩn;Không hiển thị;1;2022-10-17 16:17:07;/bui-tron-be-luxy-pc27470.html
dán mái hói;DMH;28642;Hoạt động;Không hiển thị;2;2022-10-24 18:42:16;/dan-mai-hoi-pc28642.html
Mái hói chữ M;MHNA;31741;Hoạt động;Không hiển thị;6;2022-11-14 12:43:10;/mai-hoi-chu-m-pc31741.html
Keo dán;KEO;31766;Hoạt động;Không hiển thị;1;2022-11-14 14:04:19;/keo-dan-pc31766.html
VOUCHER;VOUCHER;33735;Hoạt động;Không hiển thị;;2022-11-25 12:08:48;/voucher-pc33735.html
đầu đội siêu da đầu Mono;DDNU;34752;Hoạt động;Không hiển thị;4;2022-12-01 14:30:31;/dau-doi-sieu-da-dau-mono-pc34752.html
giá phơi tóc;GIÁ;36151;Hoạt động;Không hiển thị;1;2022-12-13 10:55:29;/gia-phoi-toc-pc36151.html
Tóc Lông Vũ;TÓC LÔNG VŨ;36758;Hoạt động;Không hiển thị;9;2022-12-17 17:30:42;/toc-long-vu-pc36758.html
TIỀN CỌC;TIỀN CỌC;38970;Hoạt động;Không hiển thị;1;2022-12-27 10:55:49;/tien-coc-pc38970.html
LUOC;LUOC;41098;Hoạt động;Không hiển thị;2;2023-01-15 09:59:26;/luoc-pc41098.html
Mái chữ M;M;47633;Hoạt động;Không hiển thị;1;2023-03-02 15:53:35;/mai-chu-m-pc47633.html
Bán online bằng nick cá nhân;Bán online bằng nick cá nhân;47634;Hoạt động;Không hiển thị;7;2023-05-29 10:02:14;/ban-online-bang-nick-ca-nhan-pc47634.html
Búi Xoáy;Búi Xoáy;4799;Hoạt động;Không hiển thị;8;2022-06-29 14:23:30;/bui-xoay-pc4799.html
Đầu đội  Silk Base;Đầu đội  Silk Base;3149;Hoạt động;Không hiển thị;21;2022-06-16 15:20:21;/dau-doi-silk-base-pc3149.html
Đầu đội Mono;Đầu đội Mono;3150;Hoạt động;Không hiển thị;13;2022-06-16 15:20:35;/dau-doi-mono-pc3150.html
Tóc Vic;Tóc Vic;3151;Hoạt động;Không hiển thị;6;2022-06-16 15:20:58;/toc-vic-pc3151.html
